category,baseline,K,split,auc_mean,auc_std,ap_mean,ap_std,p_at_k_mean,p_at_k_std,neg_ratio,seeds
Electronics,CN,200,warm,0.660141247637051,0.003733984214261898,0.7088768643342716,0.005378177337769842,0.8780000000000001,0.014404860290887946,1.0,"42,43,44,45,46"
Electronics,CN,500,warm,0.660141247637051,0.003733984214261898,0.7088768643342716,0.005378177337769842,0.6856000000000001,0.005176871642217874,1.0,"42,43,44,45,46"
Electronics,Jaccard,10,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Electronics,Jaccard,10,warm,0.44864211720226843,0.020380106883595494,0.4627835207248987,0.014457712517174709,0.04,0.05477225575051661,1.0,"42,43,44,45,46"
Electronics,Jaccard,20,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Electronics,Jaccard,20,warm,0.44864211720226843,0.020380106883595494,0.4627835207248987,0.014457712517174709,0.08,0.027386127875258306,1.0,"42,43,44,45,46"
Electronics,Jaccard,50,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Electronics,Jaccard,50,warm,0.44864211720226843,0.020380106883595494,0.4627835207248987,0.014457712517174709,0.17200000000000001,0.06260990336999413,1.0,"42,43,44,45,46"
Electronics,Jaccard,100,cold,0.5,0.0,0.5,0.0,0.48,0.0,1.0,"42,43,44,45,46"
Electronics,Jaccard,100,warm,0.44864211720226843,0.020380106883595494,0.4627835207248987,0.014457712517174709,0.34400000000000003,0.044497190922573975,1.0,"42,43,44,45,46"
Electronics,Jaccard,200,warm,0.44864211720226843,0.020380106883595494,0.4627835207248987,0.014457712517174709,0.44799999999999995,0.04177319714841084,1.0,"42,43,44,45,46"
Electronics,Jaccard,500,warm,0.44864211720226843,0.020380106883595494,0.4627835207248987,0.014457712517174709,0.5016,0.022908513701242184,1.0,"42,43,44,45,46"
Electronics,PA,10,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Electronics,PA,10,warm,0.7216423440453686,0.015192439127837966,0.7072795117808129,0.011781267192139636,0.8400000000000001,0.0547722557505166,1.0,"42,43,44,45,46"
Electronics,PA,20,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Electronics,PA,20,warm,0.7216423440453686,0.015192439127837966,0.7072795117808129,0.011781267192139636,0.8100000000000002,0.1140175425099138,1.0,"42,43,44,45,46"
Electronics,PA,50,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Electronics,PA,50,warm,0.7216423440453686,0.015192439127837966,0.7072795117808129,0.011781267192139636,0.852,0.02280350850198278,1.0,"42,43,44,45,46"
Electronics,PA,100,cold,0.5,0.0,0.5,0.0,0.48,0.0,1.0,"42,43,44,45,46"
Electronics,PA,100,warm,0.7216423440453686,0.015192439127837966,0.7072795117808129,0.011781267192139636,0.8140000000000001,0.029664793948382628,1.0,"42,43,44,45,46"
Electronics,PA,200,warm,0.7216423440453686,0.015192439127837966,0.7072795117808129,0.011781267192139636,0.792,0.027973201461398728,1.0,"42,43,44,45,46"
Electronics,PA,500,warm,0.7216423440453686,0.015192439127837966,0.7072795117808129,0.011781267192139636,0.6832,0.015270887335056818,1.0,"42,43,44,45,46"
Home_and_Kitchen,AA,10,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,AA,10,warm,0.7394185132257823,0.00800302949539943,0.7745840889574328,0.008864399255945638,0.96,0.0547722557505166,1.0,"42,43,44,45,46"
Home_and_Kitchen,AA,20,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,AA,20,warm,0.7394185132257823,0.00800302949539943,0.7745840889574328,0.008864399255945638,0.9400000000000001,0.04183300132670376,1.0,"42,43,44,45,46"
Home_and_Kitchen,AA,50,cold,0.5,0.0,0.5,0.0,0.08,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,AA,50,warm,0.7394185132257823,0.00800302949539943,0.7745840889574328,0.008864399255945638,0.9239999999999998,0.03286335345030994,1.0,"42,43,44,45,46"
Home_and_Kitchen,AA,100,warm,0.7394185132257823,0.00800302949539943,0.7745840889574328,0.008864399255945638,0.9099999999999999,0.025495097567963948,1.0,"42,43,44,45,46"
Home_and_Kitchen,AA,200,warm,0.7394185132257823,0.00800302949539943,0.7745840889574328,0.008864399255945638,0.901,0.017818529681205477,1.0,"42,43,44,45,46"
Home_and_Kitchen,AA,500,warm,0.7394185132257823,0.00800302949539943,0.7745840889574328,0.008864399255945638,0.7992000000000001,0.01136661779070623,1.0,"42,43,44,45,46"
Home_and_Kitchen,CN,10,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,CN,10,warm,0.7227808290720429,0.006218067250451667,0.745344666334019,0.007508627875796701,0.96,0.0547722557505166,1.0,"42,43,44,45,46"
Home_and_Kitchen,CN,20,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,CN,20,warm,0.7227808290720429,0.006218067250451667,0.745344666334019,0.007508627875796701,0.9400000000000001,0.04183300132670376,1.0,"42,43,44,45,46"
Home_and_Kitchen,CN,50,cold,0.5,0.0,0.5,0.0,0.08,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,CN,50,warm,0.7227808290720429,0.006218067250451667,0.745344666334019,0.007508627875796701,0.9279999999999999,0.036331804249169874,1.0,"42,43,44,45,46"
Home_and_Kitchen,CN,100,warm,0.7227808290720429,0.006218067250451667,0.745344666334019,0.007508627875796701,0.9179999999999999,0.01923538406167133,1.0,"42,43,44,45,46"
